barcode,product,model,color,size,price
0010002011102,กระเป๋าสตรี,-,-,-,3000
0010002012109,กระเป๋าเล็ก,-,-,-,1500
0010001010007,เบ็ดเตล็ด,แผ่นรอง20,-,-,20
0010001020006,เบ็ดเตล็ด,รถลาก299,-,-,299
0010001030005,เบ็ดเตล็ด,รถลาก699-1,-,-,690
0010001040004,เบ็ดเตล็ด,รถลาก699-2,-,-,690
0010001050003,เบ็ดเตล็ด,รถลาก1590,-,-,1590
0010001060002,เบ็ดเตล็ด,แผ่นรอง30,-,-,30
0010001070001,เบ็ดเตล็ด,ถุงเท้า,-,-,100
0010001080000,เบ็ดเตล็ด,แผ่นรอง15,-,-,15
0010001090009,เบ็ดเตล็ด,-,-,-,200
0010001100005,เบ็ดเตล็ด,ถุงเท้า20,-,-,20
0010001110004,เบ็ดเตล็ด,ถุงเท้า3คู่50,-,-,50
0010001120003,เบ็ดเตล็ด,ถุงเท้า3คู่100,-,-,100
0010001130002,เบ็ดเตล็ด,ถุงเท้า4คู่100,-,-,100
0010001140001,เบ็ดเตล็ด,ถุงเท้า40,-,-,40
0010001150000,เบ็ดเตล็ด,ถุงเท้า25,-,-,25
0010001160009,เบ็ดเตล็ด,ถุงเท้า30,-,-,30
0010001170008,เบ็ดเตล็ด,แผ่นรอง20,-,-,20
1200001000002,กระเป๋าผ้า,001,-,-,159
1202011000003,กระเป๋าผ้า,2011,-,-,199
1200808000007,กระเป๋าผ้า,808,-,-,199
1202025000006,กระเป๋าผ้า,2025,-,-,199
1202026000005,กระเป๋าผ้า,2026,-,-,299
1202027000004,กระเป๋าผ้า,2027,-,-,299
1211819001006,กระเป๋าผ้า,1819,ดำ,-,790
1211819002003,กระเป๋าผ้า,1819,ตาล,-,790
1211819003000,กระเป๋าผ้า,1819,ชมพู,-,790
1211819004007,กระเป๋าผ้า,1819,ขาว,-,790
1212020001007,กระเป๋าผ้า,202,ดำ,-,1490
1212020002004,กระเป๋าผ้า,202,ตาล,-,1490
1212060001005,กระเป๋าผ้า,206,ดำ,-,1490
1212278001002,กระเป๋าผ้า,2278,ดำ,-,1490
1212278002009,กระเป๋าผ้า,2278,ตาล,-,1490
1212856001004,กระเป๋าผ้า,2856,ดำ,-,1690
1212856002001,กระเป๋าผ้า,2856,ตาล,-,1690
1212856005002,กระเป๋าผ้า,2856,ม่วง,-,1690
1212862001005,กระเป๋าผ้า,2862,ดำ,-,1790
1212862002002,กระเป๋าผ้า,2862,ตาล,-,1790
1212862005003,กระเป๋าผ้า,2862,ม่วง,-,1790
1212870001004,กระเป๋าผ้า,2870,ดำ,-,1590
1212870002001,กระเป๋าผ้า,2870,ตาล,-,1590
1212969001007,กระเป๋าผ้า,2969,ดำ,-,1690
1212997001000,กระเป๋าผ้า,2997,ดำ,-,1790
1212997002007,กระเป๋าผ้า,2997,ตาล,-,1790
1212997005008,กระเป๋าผ้า,2997,ม่วง,-,1790
1212998001009,กระเป๋าผ้า,2998,ดำ,-,1590
1212998002006,กระเป๋าผ้า,2998,ตาล,-,1590
1212998005007,กระเป๋าผ้า,2998,ม่วง,-,1590
1213004001006,กระเป๋าผ้า,3004,ดำ,-,1490
1213004002003,กระเป๋าผ้า,3004,ตาล,-,1490
1213069001003,กระเป๋าผ้า,3069,ดำ,-,1490
1213070001009,กระเป๋าผ้า,3070,ดำ,-,1690
1213071001008,กระเป๋าผ้า,3071,ดำ,-,1890
1213071002005,กระเป๋าผ้า,3071,ตาล,-,1890
1213073001006,กระเป๋าผ้า,3073,ดำ,-,1490
1213073002003,กระเป๋าผ้า,3073,ตาล,-,1490
1213317001007,กระเป๋าผ้า,3317,ดำ,-,1490
1213317006002,กระเป๋าผ้า,3317,กากี,-,1490
1214003001004,กระเป๋าผ้า,4003,ดำ,-,1690
1214003002001,กระเป๋าผ้า,4003,ตาล,-,1690
1214017001007,กระเป๋าผ้า,4017,ดำ,-,1790
1214017002004,กระเป๋าผ้า,4017,ตาล,-,1790
1214017005005,กระเป๋าผ้า,4017,ม่วง,-,1790
1214018001006,กระเป๋าผ้า,4018,ดำ,-,1590
1214018002003,กระเป๋าผ้า,4018,ตาล,-,1590
1214018005004,กระเป๋าผ้า,4018,ม่วง,-,1590
1214024001007,กระเป๋าผ้า,4024,ดำ,-,1690
1214032001006,กระเป๋าผ้า,4032,ดำ,-,1490
1214032002003,กระเป๋าผ้า,4032,ตาล,-,1490
1214079001007,กระเป๋าผ้า,4079,ดำ,-,1690
1214085001008,กระเป๋าผ้า,4085,ดำ,-,1690
